Index,PubID,Result
1,32155645,no
2,34654968,no
3,36328610,no
4,31552207,yes
5,30099108,no
6,34644520,no
7,30384985,yes
8,35929629,no
9,31838477,yes
10,37527001,no
11,34274152,no
12,33771081,yes
13,35209998,no
14,30771811,no
15,33958518,yes
16,31126684,yes
17,35125082,no
18,30143341,no
19,34024450,no
20,30771813,yes
21,37368219,no
22,30989465,no
23,36572621,no
24,30172660,no
25,32855506,no
26,30771816,no
27,37295298,yes
28,34469367,no
29,36142816,no
30,36621416,no
31,35241991,yes
32,32953856,no
33,31264395,yes
34,31077334,no
35,30100524,no
36,31860703,yes
37,32843076,yes
38,32615312,maybe
39,33440455,no
40,37028265,no
41,36068527,no
42,34626783,maybe
